M d02 d05 d08 s1 s3
3.4600 -0.052548 -0.105602 -0.141102 -0.230935 -0.185965
3.4700 -0.054164 -0.108883 -0.145506 -0.237930 -0.191098
3.4800 -0.055777 -0.112161 -0.149908 -0.244900 -0.196170
3.4900 -0.057386 -0.115435 -0.154307 -0.251846 -0.201181
3.5000 -0.058992 -0.118706 -0.158703 -0.258767 -0.206130
3.5100 -0.060595 -0.121974 -0.163097 -0.265662 -0.211016
3.5200 -0.062194 -0.125237 -0.167488 -0.272531 -0.215839
3.5300 -0.063789 -0.128497 -0.171875 -0.279372 -0.220597
3.5400 -0.065381 -0.131753 -0.176260 -0.286185 -0.225289
3.5500 -0.066969 -0.135005 -0.180641 -0.292970 -0.229917
3.5600 -0.068552 -0.138252 -0.185020 -0.299725 -0.234478
3.5700 -0.070132 -0.141496 -0.189395 -0.306451 -0.238972
3.5800 -0.071707 -0.144735 -0.193766 -0.313145 -0.243399
3.5900 -0.073278 -0.147969 -0.198135 -0.319809 -0.247759
3.6000 -0.074845 -0.151199 -0.202499 -0.326440 -0.252052
3.6100 -0.076407 -0.154425 -0.206860 -0.333039 -0.256277
3.6200 -0.077965 -0.157645 -0.211218 -0.339605 -0.260434
3.6300 -0.079518 -0.160861 -0.215571 -0.346136 -0.264523
3.6400 -0.081066 -0.164071 -0.219921 -0.352633 -0.268545
3.6500 -0.082610 -0.167276 -0.224266 -0.359095 -0.272499
3.6600 -0.084148 -0.170477 -0.228608 -0.365521 -0.276386
3.6700 -0.085681 -0.173671 -0.232945 -0.371910 -0.280207
3.6800 -0.087209 -0.176861 -0.237279 -0.378262 -0.283960
3.6900 -0.088732 -0.180044 -0.241608 -0.384576 -0.287648
3.7000 -0.090249 -0.183222 -0.245932 -0.390852 -0.291270
3.7100 -0.091760 -0.186394 -0.250252 -0.397088 -0.294827
3.7200 -0.093267 -0.189561 -0.254567 -0.403285 -0.298320
3.7300 -0.094767 -0.192721 -0.258878 -0.409442 -0.301749
3.7400 -0.096262 -0.195875 -0.263184 -0.415558 -0.305116
3.7500 -0.097750 -0.199023 -0.267485 -0.421632 -0.308421
3.7600 -0.099233 -0.202164 -0.271781 -0.427664 -0.311665
3.7700 -0.100709 -0.205299 -0.276072 -0.433653 -0.314849
3.7800 -0.102179 -0.208427 -0.280358 -0.439599 -0.317975
3.7900 -0.103643 -0.211548 -0.284639 -0.445501 -0.321043
3.8000 -0.105101 -0.214662 -0.288914 -0.451358 -0.324055
3.8100 -0.106552 -0.217770 -0.293184 -0.457170 -0.327013
3.8200 -0.107996 -0.220870 -0.297449 -0.462936 -0.329916
3.8300 -0.109433 -0.223963 -0.301707 -0.468657 -0.332768
3.8400 -0.110864 -0.227049 -0.305960 -0.474330 -0.335569
3.8500 -0.112287 -0.230127 -0.310208 -0.479956 -0.338320
3.8600 -0.113704 -0.233197 -0.314449 -0.485534 -0.341025
3.8700 -0.115113 -0.236260 -0.318684 -0.491063 -0.343683
3.8800 -0.116515 -0.239315 -0.322913 -0.496543 -0.346297
3.8900 -0.117909 -0.242361 -0.327136 -0.501974 -0.348869
3.9000 -0.119296 -0.245400 -0.331353 -0.507354 -0.351401
3.9100 -0.120676 -0.248430 -0.335563 -0.512684 -0.353894
3.9200 -0.122047 -0.251452 -0.339767 -0.517962 -0.356350
3.9300 -0.123411 -0.254465 -0.343964 -0.523189 -0.358771
3.9400 -0.124767 -0.257470 -0.348155 -0.528363 -0.361159
3.9500 -0.126115 -0.260466 -0.352338 -0.533484 -0.363517
3.9600 -0.127454 -0.263452 -0.356515 -0.538552 -0.365846
3.9700 -0.128786 -0.266430 -0.360684 -0.543567 -0.368148
3.9800 -0.130109 -0.269399 -0.364847 -0.548527 -0.370426
3.9900 -0.131423 -0.272358 -0.369002 -0.553432 -0.372681
4.0000 -0.132729 -0.275307 -0.373149 -0.558281 -0.374917
4.0100 -0.134026 -0.278247 -0.377290 -0.563075 -0.377134
4.0200 -0.135314 -0.281177 -0.381422 -0.567813 -0.379336
4.0300 -0.136593 -0.284097 -0.385547 -0.572493 -0.381524
4.0400 -0.137863 -0.287007 -0.389664 -0.577117 -0.383701
4.0500 -0.139124 -0.289907 -0.393773 -0.581683 -0.385870
4.0600 -0.140376 -0.292796 -0.397874 -0.586190 -0.388031
4.0700 -0.141618 -0.295675 -0.401967 -0.590639 -0.390189
4.0800 -0.142851 -0.298543 -0.406052 -0.595029 -0.392345
4.0900 -0.144074 -0.301400 -0.410128 -0.599360 -0.394501
4.1000 -0.145287 -0.304247 -0.414195 -0.603630 -0.396659
4.1100 -0.146490 -0.307082 -0.418254 -0.607840 -0.398823
4.1200 -0.147684 -0.309906 -0.422304 -0.611989 -0.400994
4.1300 -0.148867 -0.312718 -0.426346 -0.616078 -0.403175
4.1400 -0.150040 -0.315518 -0.430378 -0.620104 -0.405368
4.1500 -0.151203 -0.318307 -0.434401 -0.624069 -0.407575
4.1600 -0.152355 -0.321084 -0.438414 -0.627971 -0.409798
4.1700 -0.153497 -0.323849 -0.442419 -0.631810 -0.412041
4.1800 -0.154628 -0.326601 -0.446413 -0.635586 -0.414304
4.1900 -0.155749 -0.329341 -0.450398 -0.639299 -0.416590
4.2000 -0.156858 -0.332068 -0.454374 -0.642948 -0.418902
4.2100 -0.157956 -0.334783 -0.458339 -0.646532 -0.421242
4.2200 -0.159043 -0.337485 -0.462294 -0.650052 -0.423611
4.2300 -0.160119 -0.340173 -0.466239 -0.653506 -0.426012
4.2400 -0.161184 -0.342848 -0.470173 -0.656896 -0.428446
4.2500 -0.162236 -0.345510 -0.474097 -0.660219 -0.430917
4.2600 -0.163278 -0.348157 -0.478011 -0.663477 -0.433425
4.2700 -0.164307 -0.350791 -0.481913 -0.666668 -0.435973
4.2800 -0.165325 -0.353411 -0.485805 -0.669793 -0.438562
4.2900 -0.166330 -0.356017 -0.489685 -0.672851 -0.441195
4.3000 -0.167324 -0.358608 -0.493555 -0.675841 -0.443873
4.3100 -0.168305 -0.361185 -0.497412 -0.678764 -0.446598
4.3200 -0.169274 -0.363746 -0.501259 -0.681619 -0.449371
4.3300 -0.170230 -0.366293 -0.505093 -0.684405 -0.452194
4.3400 -0.171174 -0.368825 -0.508916 -0.687124 -0.455069
4.3500 -0.172105 -0.371341 -0.512727 -0.689773 -0.457997
4.3600 -0.173023 -0.373841 -0.516525 -0.692354 -0.460979
4.3700 -0.173929 -0.376326 -0.520311 -0.694865 -0.464017
4.3800 -0.174821 -0.378795 -0.524085 -0.697307 -0.467112
4.3900 -0.175699 -0.381247 -0.527846 -0.699680 -0.470265
4.4000 -0.176565 -0.383683 -0.531594 -0.701982 -0.473478
4.4100 -0.177417 -0.386103 -0.535329 -0.704214 -0.476751
